"ID","区分","機能","ユーザーストーリー","期待挙動(file:line)","P1_story","P2_テスト結果","P2_不具合","P3_修正","P4_再テスト","human_gate","備考"
"S11","分析","BIGキャリーオーバー圧（big-carryover）","BIG好きの友達として、キャリーオーバー圧（naiveCarryPressure）と1等当選確率の目安を見たいが、ランダム発券を真EVと誤認させる煽り文言は出さないでほしい。","calculateBigCarryover が naiveCarryPressure / ticketCountEstimate / expectedFirstPrizeWinners / probAtLeastOneFirstPrize / 1等上限警告 を算出（src/lib/big-carryover/calculator.test.ts:12-104）、tier/公式ルール欠落時は trueEvStatus=proxy_only『真EV未計算』（同:106-136）、UIコードに『全力買い/必勝/30倍買えば』等の煽り再混入を回帰テストで禁止（同:138-150）。UI=src/app/big-carryover/page.tsx","done","緑:test285 lint0 build28 pages200。preview緑(真EV未計算あり/煽り文言無し)","なし","—（不具合なし）","preview実走確認済 2026-06-24","","S01のBIGカードと一貫（真EV未計算扱い）を live で再確認"
"S12","編集/取込","toto公式回CSV取り込み（toto-official-import）","幹事として、公式投票率のCSVを貼り付けて取り込み、0.52/52%/52 や全角を正規化し、fixture自動マッチの曖昧さは管理者確認させたい。","parseTotoOfficialRoundCsv が 0.52/52%/52 と全角を確率へ正規化、引用符内カンマで列ズレせず、合計が1から大きくズレると警告（src/lib/toto-official-import.test.ts:37-79,127-136）、matchOfficialRowsToFixtures が fuzzy マッチし複数候補は『管理者確認』警告・手動選択を再マッチで保持（同:81-125）、範囲外票は拒否（同:138-156）。UI=src/app/toto-official-round-import/page.tsx","done","緑:test285 lint0 build28 pages200","なし","—（不具合なし）","—（ロジックは vitest 緑）","","saveTotoOfficialRoundImport は setMode('local')前提（S04監査参照）"
"S13","編集/取込","試合の基本情報・確率・補正の保存（match-editor）","ラウンド管理者として、選んだ試合のチーム名・キックオフ・公式/市場/AI確率・各種補正を編集して保存し、モデル比較や集計に反映させたい。","?round=&match= で match 解決（src/app/match-editor/page.tsx:128-142）、handleSave→updateMatch→refresh（page.tsx:235-317）。updateMatch は facade で D1 分岐（src/lib/repository.ts:247-300, repository-d1.ts:241-251）。","done","緑:test291 lint0 build28。preview緑(no console error)","【D1・high・修正済】kickoffのdatetime-localがTZ非対称。初期化=UTC壁時計(toISOString().slice(0,16))・保存=ローカル解釈(new Date(value).toISOString())で、JSTでは見出し(Asia/Tokyo)と9hズレ＋無編集保存で毎回-9h後退ドリフト。","Asia/Tokyo規約で往復不変に統一。新lib src/lib/datetime-local.ts(isoToTokyoDateTimeLocal/tokyoDateTimeLocalToIso)へ抽出しmatch-editorのinit(645)とsave(254)を置換。日本はDST無で+09:00固定。","src/lib/datetime-local.test.ts 6本(往復不変/JST境界/不正値)緑＋build緑＋preview描画緑","","working-tree のみ。formatDateTime/domain.ts は不変。updateMatch のD1分岐は元から正しく不変"
"S14","編集/取込","Research Memo の追加・削除（match-editor）","予想者として、試合ごとに検索メモ（種別・信頼度・出典）を残し補正の根拠を振り返り、不要なメモは削除したい。","handleSaveMemo→buildResearchMemoPayload→saveResearchMemo→refresh（src/app/match-editor/page.tsx:328-367、research-memos.ts:8-36）。表示は filterResearchMemosForMatch（research-memos.ts:38-60）。save/delete とも facade で D1 分岐（repository.ts:695-723）。","done","緑:test291 lint0 build28。preview緑(no console error)","【D2・medium・修正済】保存成功後の event.currentTarget.reset() が await を跨いで currentTarget=null になり TypeError→catchで偽の『保存失敗』表示＋入力欄未クリア（メモは保存済）。","await 前に const form = event.currentTarget を退避し new FormData(form)/form.reset() に置換（src/app/match-editor/page.tsx:339,367）。page.tsx 単独・数行。","build緑＋preview描画緑（React handlerのため単体テストは付けず最小修正）","","handleSave 側は await 前に FormData 取得済で無影響＝本問題は memo ハンドラ固有"
"S15","編集/取込","ラウンド設定の保存と参加メンバー選択（workspace）","ラウンド管理者として、ラウンド名・ステータス・商品・モード・必要試合数・候補上限・参加メンバー・観戦メモを更新し各カードへ反映したい。","handleSaveRound が candidateLimit変換し非デモ&availableUsers>0でparticipantIds空をエラーに（src/app/workspace/page.tsx:511-518）→updateRound→refresh。facade D1 分岐あり（repository.ts:222-245）。未保存はbeforeunload警告（page.tsx:485-497）。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","","監査で D1 分岐・編集ガード健全を確認"
"S16","編集/取込","日程まとめ貼り付けとモデル確率の一括試算（workspace）","ラウンド管理者として、複数試合の日程を貼り付けて一括反映し、共通engineで未設定試合のモデル1/0/2 をまとめて試算したい。","handleBulkImport が parseFixtureImportText でパースしmatchNo範囲外を弾く（src/app/workspace/page.tsx:553-594）。handleEstimateAi→estimateRoundAiModel（page.tsx:596-621）。両API facade D1 分岐あり（repository.ts:302-328、D1は部分upsert repository-d1.ts:288-311）。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","",""
"S17","分析","AI試算 vs 人力ラインの重なり集計（consensus）","予想者として、各試合でモデルラインに対し人力が採用/別筋/0追加のどれをしたか一覧し、対立・引分・例外を先に見たい。","useRoundWorkspace で取得しhumanOverlayBadge等で評価しhighlightScore降順表示（src/app/consensus/page.tsx:42-83）。conflict/draw/exception を上部最大4件（同:84-108）。バッジ判定 src/lib/domain.ts:754-781。round未指定は RoundRequiredNotice。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","",""
"S18","分析","コンセンサス詳細表（代表メモ・F/D・ばらつき）（consensus）","予想者として、注目順の詳細表で試算/人力ライン・平均F・中央値F・平均D・ばらつき・例外数・代表メモを横スワイプで確認したい。","HorizontalScrollTable に consensusRows 展開、代表メモは representativeNotes(8文字以上/重複除去/最大3件: src/lib/domain.ts:662-679)。null セルは formatNumber/formatOutcomeSet が '—'（domain.ts:301-307,715-717）で崩れない。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","","#76 横スクロール統一の恩恵"
"S19","分析","AI・予想者・ウォッチ・一般人気の合成優位ボード（edge-board）","予想者として、一般人気基準でAI/予想者/ウォッチを合成した優位差と注目配分を見て、コア/ダークホース/予想者押しをどこから見るか判断したい。","buildAdvantageRows が加重合成(AI0.52/予想者0.33/ウォッチ0.15/一般0.06: src/lib/domain.ts:958-963)と優位/darkHorse/risk/include を算出し attentionShare 正規化（domain.ts:1061-1108）。crowd 無は formatSignedPercent '—'（domain.ts:982-997）。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","",""
"S20","分析","優位ボード詳細表（注目/監視・各差分・リスク判定）（edge-board）","予想者として、全候補を注目→監視順に並べた表で一般人気・AI差・予想者差・注目配分・リスク（慎重/中位/低め）を見比べたい。","advantageRows を include優先・attentionShare降順で全件表示（src/lib/domain.ts:1093-1107、表 src/app/edge-board/page.tsx:312-382）。riskScore>=0.65慎重/>=0.45中位/他低め（page.tsx:54-64）。predictor null は '— / N人'（page.tsx:66-72）。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","",""
"S21","分析","結果入力とステータス保存（review・共有D1書き込み）","幹事として、未確定試合を先頭にした結果入力で各試合の1/0/2 とステータスを保存し共有ラウンドへ反映したい。","handleSaveResults→saveResults、共有時は facade が d1Repository.saveResults に分岐し matches upsert と round status PATCH を並列（src/app/review/page.tsx:143-170、repository.ts:668-681、repository-d1.ts:313-338）。未確定を先頭ソート（page.tsx:60-73）。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑。S07 practice-lab と整合）","","#PR-C saveResults D1配線済を再確認"
"S22","分析","予想精度の振り返り集計・ランキング・反省ログ（review）","予想者として、結果入力後にAI/人力/公式/市場の的中数・ランキング・引分警戒/例外の有効度を見て反省ログを残したい。","buildReviewSummary が completedMatches に aiHits/humanHits/.../rankings/drawAlertEffective/agreementRate/conflictCoverageRate を算出（src/lib/review.ts:64-203）。完了0でも分母0で0返しNaN無し（review.ts:164-189）。addReviewNote は D1 分岐（repository.ts:683-693）、本文空はブロック。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","",""
"S23","友達導線","予想者カードの根拠点数入力と保存（scout-cards）","予想者として、地力・出場戦力・条件・戦術相性・微修正・引分警戒を点数化し根拠メモ付きで保存し方向スコアFとコンセンサスへ反映したい。","意味のある入力のみ reports に詰め replaceScoutReports（src/app/scout-cards/page.tsx:194-324）。D1は POST /api/rounds/:id/scout-reports→handleUpsertScoutReport（repository-d1.ts:265-275、handler.ts:1316-1317）。directionScoreF は保存時 computeDirectionScore。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","",""
"S24","友達導線","入力ユーザー切替と未保存ガード（scout-cards）","予想者として、入力対象を切り替えるとき未保存の点数を取りこぼさないよう警告を受けたい。","handleSwitchUser で未保存(dirtyScope===currentFormScope)なら window.confirm、OKのみ遷移（src/app/scout-cards/page.tsx:157-192,179-192）。beforeunload ガードあり（165-177）。round未選択は RoundRequiredNotice。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（S25 simple-view の参照実装＝正しい挙動）","","simple-view(D3)が欠いていたガードの正しい先例"
"S25","友達導線","1/0/2 タップ予想とサーバ反映（simple-view）","メンバーとして、スマホで補助表示を見ながら各試合の1/0/2 をタップし固定バーの保存で自分の13予想を保存したい。","QuickPick は同値再タップで空トグル、保存は replacePicks（全試合 support:manual）→refresh（src/app/simple-view/page.tsx:268-296）。保存後 picks.updatedAt 変化で baseIdentity 変わり draft をサーバ値へ再同期（139-171）。","done","緑:test291 lint0 build28。preview緑(no console error)","【D3・medium・修正済】メンバー切替ボタンが picks/scout-cards にある未保存ガードを欠き、未保存の1/0/2 が無警告で消える（baseIdentity変化→useEffectがdraft上書き）。1端末回し見の主用途で事故。","picks/scout-cards と同形に統一: 未保存判定(draft vs サーバpicks、初回同期前は誤検知回避)＋window.confirm の handleSwitchUser＋beforeunload を simple-view/page.tsx 単独で追加。","build緑＋preview描画緑（プレ同期ガード draftSyncedToActiveUser で初回誤検知も防止）","","hot ファイル不使用・最小差分"
"S26","分析","自分の予想と公式/AI/人力の一致サマリ（simple-view）","メンバーとして、入力中の予想が公式人気・AI本命・人力多数派とどれだけ一致/逆張りしているか即座に確認したい。","summary を draftValues から算出(aiAligned/publicAligned/contrarianCount/humanAligned/drawCount/filledCount)、分母は Math.max(matches.length,1) で0割回避（src/app/simple-view/page.tsx:173-227）。","done","緑:test291 lint0 build28。preview緑","なし","—（不具合なし）","—","",""
"S27","友達導線","直接入力とウォッチ担当の支持先選択（picks・役割分岐）","予想者として1/0/2 を直接入れたい/ウォッチ担当としてAIか予想者に乗るかを選び採用される値を自動反映し保存したい。","activeUserIsPredictor で分岐。ウォッチは resolveSupportedOutcome で pick 自動決定し support 保存、両分岐とも replacePicks（src/app/picks/page.tsx:228-233,490-542、pick-support.ts:114-149、repository.ts:330-344）。保存後 refresh。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","","picks は未保存ガード保持（D3の正先例）"
"S28","分析","AI本命への一括流し込みと予想者比較サマリ（picks）","予想者として、未入力試合にAI本命を一括流し込み必要な試合だけ手直しし、AI本線との重なり/0追加/別筋数を見ながら詰めたい。","applyAiPrimaryToPending は未入力のみ favoriteOutcomeForBucket(model) を入れる（src/app/picks/page.tsx:420-439）。predictorSummaries が各予想者の filled/aiAligned/drawOverlay/alternateLine を算出（348-390）。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","",""
"S29","編集/取込","FIFA公式日程の1タップ取得（official-schedule-import）","発売前準備の幹事として、FIFA公式記事URLからこの画面のまま全試合の候補行を取得しプレビュー表で確認したい。","『この画面で取得』→fetchOfficialScheduleFromFifaArticle→parseOfficialScheduleText→draftRows、補完/未入力件数を表示、失敗は actionError で画面維持（src/app/official-schedule-import/page.tsx:216-254）。既定URL official-schedule.ts:33-34。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","",""
"S30","編集/取込","全試合リストへの保存（official-schedule-import）","幹事として、抽出した全試合を軽く整えてこの端末の全試合リスト(fixtureMaster)に保存したい。","『全試合を保存』→saveFixtureMasterEntries→fixtureMaster.refresh、保存/更新/スキップ件数を表示（src/app/official-schedule-import/page.tsx:256-292）。保存先・読込とも常に localRepository 経由で一致（repository.ts:417-435、local-repository.ts:1363-1417）。空は disabled。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","","fixtureMaster は意図的にローカル専用（S04監査）"
"S31","編集/取込","全試合から13試合を選んでローカルRound化（fixture-selector）","幹事として、全試合リストを大会/チーム/組/ステージで絞り、今回遊ぶ試合にチェックを入れてローカル保存のラウンドを作りたい。","useFixtureMaster に絞り込み渡し localListFixtureMaster が部分一致（src/app/fixture-selector/page.tsx:52-57、local-repository.ts:1350-1360）。送信時 dataMode.setMode('local') 強制後 createRoundFromFixtures（page.tsx:130-143）で D1/デモでも作成round を確実に読める。選択0件は弾く。","done","緑:test291 lint0 build28","なし","—（不具合なし。S04監査と整合: setMode('local')強制で silent no-op 無し）","—（vitest緑）","",""
"S32","編集/取込","フィルタ外選択の見える化と整理（fixture-selector）","幹事として、絞り込みを変えても保持される選択数を把握し、今見えている試合だけで作れるよう選択を整理したい。","hiddenSelectedCount(現フィルタで見えない選択数)を算出し>0で警告（src/app/fixture-selector/page.tsx:79-83,288-300）。表示中を全選択/解除・フィルタ外解除・全クリアで整理（85-97）。選択数から商品おすすめ（107-115）。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","",""
"S33","友達導線","既存ラウンドの差し替え or 新規作成の見分け（fixture-selector）","?round= 付きで来た幹事として、操作が既存ラウンド置換か新規作成かを画面で見分けたい。","existingRoundId 有無で『既存置換』/『新規作成』バッジ・ボタン文言を切替（src/app/fixture-selector/page.tsx:292,347）。置換は同 roundId の matches を全削除→入れ直し（page.tsx:140、local-repository.ts:1442-1490）。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—（vitest緑）","",""
"S34","基盤","保存ステータス確認（settings）","友達（閲覧端末）として、いま自分の予想がどこに保存されているか（デモ/ローカル/共有D1）と各バックエンド接続状態をひと目で確認したい。","mode に応じバッジ/説明、localStorageAdapter.health() と（d1ApiBase時）d1ApiAdapter.health() を StatusRow 表示（src/app/settings/page.tsx:90-95,174-226）。","done","緑:test291 lint0 build28。preview緑(ローカル保存表示)","【D4関連・high・修正済】保存先バッジ/Round一覧が cloudflare_d1 を local に落として表示・読込していた（D4の dataModeToStorageMode 起因）。","S35のD4修正(resolveStorageMode委譲)で同時解消。バッジ getStorageModeLabel(storageMode) も正しい保存先を出す。","build緑＋preview緑（local devは『ローカル保存』維持＝回帰なし）","","D1本番では『Cloudflare共有保存』表示に是正"
"S35","編集/取込","Round JSON エクスポート/インポートで保存先間移行（settings）","幹事として、ある Round を JSON で書き出し別端末/別保存先（ローカル↔D1）へ取り込んで移行したい。","selectedRound を adapter.exportRoundBundle でDL、import は隠し file input→normalizeBundle→copy/overwrite→importRoundJson（src/app/settings/page.tsx:121-149,236、data-mode-provider.tsx:213-263）。","done","緑:test291 lint0 build28。preview緑","【D4・high・修正済】dataModeToStorageMode が cloudflare_d1 を一律 local に落とすため、共有D1本番でRound一覧/JSONエクスポートが端末localStorageを読み、共有D1の友達ラウンドを取りこぼす（代表的D1分岐漏れ→共有no-op class）。","自前 helper を廃しテスト済 storage/index.ts の resolveStorageMode({preference:mode,d1ApiBase}) に委譲。explicitMode は渡さず provider の health フォールバック判断を尊重。settings/page.tsx 単独。","build緑＋preview緑。resolveStorageMode は既存 index.test.ts で担保。importRoundJson のD1分岐は元から正しく不変","","StorageMode/DataMode は同一リテラルで型安全。hot ファイル不使用"
"S36","基盤","保存先の再接続（settings）","共有D1が一時落ちでlocalにフォールバックしたスマホとして、復旧後に『再接続』で共有D1へ戻したい。","再接続で preference を auto に戻し runHealthCheck 再実行、D1 health ok なら cloudflare_d1 へ、ダメなら local 継続（src/app/settings/page.tsx:159-167、data-mode-provider.tsx:208-211,131-182）。","done","緑:test291 lint0 build28。preview緑","なし","—（不具合なし）","—","","D4修正と整合（mode='cloudflare_d1' が settings に正しく伝わる）"
"S37","練習","スマホ軽量 個人ローカル予想（hazi・非共有デプロイ）","Hazi として、localhost/個人デプロイで第1634〜1637回を軽量に開き王道/期待値/AI修正をワンタップでブラウザ保存しつつ1/0/2 を素早く入れたい。","env が cloudflare_d1 でない時 HaziLitePage。setupHaziLiteState で4回整え、updateHaziLitePick/applyHaziLiteStrategyPicks/applyHaziLiteAiPicks が localStorage 更新し即UI反映（src/app/hazi/page.tsx:199-281、hazi-lite-local.ts:1081-1167,1266-1297）。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—","",""
"S38","友達導線","共有D1版 Hazi予想（hazi・みんなで同じ）","友達みんなとして共有D1デプロイの /hazi で Hazi の予想を全員同じ画面で見たい。Hazi本人(編集トークン端末)はタップで共有D1へ即保存したい。","env が cloudflare_d1+D1_API_BASE で HaziSharedD1View、listDashboardData で共有D1を読む。editToken のある端末だけ1/0/2 ボタン→handlePick→replacePicks で共有保存、無は『閲覧のみ』（src/app/hazi/page.tsx:203-209、hazi-shared-d1-view.tsx:88-130,237-265,370-436）。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—","","#PR-K 閲覧専用ガードと整合"
"S39","基盤","共同開発オンボーディング/ガードレール閲覧（dev-playbook）","GitHub招待された友人として、branch運用・AI並走ルール・Pages/共有D1の危険変更・PRチェックリストをこの1ページで把握したい。","静的な運用ルール/手順/ブランチ戦略/AIガードレール/危険変更/PRチェック/禁止領域を SectionCard 群で描画、内部遷移は appRoute.dashboard の Link（src/app/dev-playbook/page.tsx:121-138,295-314）。","done","緑:test291 lint0 build28","なし","—（不具合なし）","—","","静的ページ"
